Device name,"	Family","	Series"
LAN9255ZMX018,"	LAN9255","	LAN9255ZMX"
LAN9255ZMX019,"	LAN9255","	LAN9255ZMX"
LAN9255ZMX020,"	LAN9255","	LAN9255ZMX"
PIC32CM2532JH00032,"	PIC32CM","	PIC32CMJH00"
PIC32CM2532JH00048,"	PIC32CM","	PIC32CMJH00"
PIC32CM2532JH00064,"	PIC32CM","	PIC32CMJH00"
PIC32CM2532JH00100,"	PIC32CM","	PIC32CMJH00"
PIC32CM5164JH00032,"	PIC32CM","	PIC32CMJH00"
PIC32CM5164JH00048,"	PIC32CM","	PIC32CMJH00"
PIC32CM5164JH00064,"	PIC32CM","	PIC32CMJH00"
PIC32CM5164JH00100,"	PIC32CM","	PIC32CMJH00"
PIC32CM2532JH01032,"	PIC32CM","	PIC32CMJH01"
PIC32CM2532JH01048,"	PIC32CM","	PIC32CMJH01"
PIC32CM2532JH01064,"	PIC32CM","	PIC32CMJH01"
PIC32CM2532JH01100,"	PIC32CM","	PIC32CMJH01"
PIC32CM5164JH01032,"	PIC32CM","	PIC32CMJH01"
PIC32CM5164JH01048,"	PIC32CM","	PIC32CMJH01"
PIC32CM5164JH01064,"	PIC32CM","	PIC32CMJH01"
PIC32CM5164JH01100,"	PIC32CM","	PIC32CMJH01"
PIC32CM2532LE00048,"	PIC32CM","	PIC32CMLE00"
PIC32CM2532LE00064,"	PIC32CM","	PIC32CMLE00"
PIC32CM2532LE00100,"	PIC32CM","	PIC32CMLE00"
PIC32CM5164LE00048,"	PIC32CM","	PIC32CMLE00"
PIC32CM5164LE00064,"	PIC32CM","	PIC32CMLE00"
PIC32CM5164LE00100,"	PIC32CM","	PIC32CMLE00"
PIC32CM2532LS00048,"	PIC32CM","	PIC32CMLS00"
PIC32CM2532LS00064,"	PIC32CM","	PIC32CMLS00"
PIC32CM2532LS00100,"	PIC32CM","	PIC32CMLS00"
PIC32CM5164LS00048,"	PIC32CM","	PIC32CMLS00"
PIC32CM5164LS00064,"	PIC32CM","	PIC32CMLS00"
PIC32CM5164LS00100,"	PIC32CM","	PIC32CMLS00"
PIC32CM2532LS60048,"	PIC32CM","	PIC32CMLS60"
PIC32CM2532LS60064,"	PIC32CM","	PIC32CMLS60"
PIC32CM2532LS60100,"	PIC32CM","	PIC32CMLS60"
PIC32CM5164LS60048,"	PIC32CM","	PIC32CMLS60"
PIC32CM5164LS60064,"	PIC32CM","	PIC32CMLS60"
PIC32CM5164LS60100,"	PIC32CM","	PIC32CMLS60"
PIC32CM1216MC00032,"	PIC32CMMC","	PIC32CMMC00"
PIC32CM1216MC00048,"	PIC32CMMC","	PIC32CMMC00"
PIC32CM6408MC00032,"	PIC32CMMC","	PIC32CMMC00"
PIC32CM6408MC00048,"	PIC32CMMC","	PIC32CMMC00"
PIC32CX1012BZ24032,"	PIC32CX","	BZ24"
PIC32CX1012BZ25032,"	PIC32CX","	BZ25"
PIC32CX1012BZ25048,"	PIC32CX","	BZ25"
WBZ450,"	WBZ45","	BZ45"
WBZ451,"	WBZ45","	BZ45"
PIC32CX1025SG41100,"	PIC32CX","	PIC32CXSG41"
PIC32CX1025SG41128,"	PIC32CX","	PIC32CXSG41"
PIC32CX1025SG60100,"	PIC32CX","	PIC32CXSG60"
PIC32CX1025SG60128,"	PIC32CX","	PIC32CXSG60"
PIC32CX1025SG61100,"	PIC32CX","	PIC32CXSG61"
PIC32CX1025SG61128,"	PIC32CX","	PIC32CXSG61"
ATSAMC20E15A,"	SAMC","	SAMC20"
ATSAMC20E16A,"	SAMC","	SAMC20"
ATSAMC20E17A,"	SAMC","	SAMC20"
ATSAMC20E18A,"	SAMC","	SAMC20"
ATSAMC20G15A,"	SAMC","	SAMC20"
ATSAMC20G16A,"	SAMC","	SAMC20"
ATSAMC20G17A,"	SAMC","	SAMC20"
ATSAMC20G18A,"	SAMC","	SAMC20"
ATSAMC20J15A,"	SAMC","	SAMC20"
ATSAMC20J16A,"	SAMC","	SAMC20"
ATSAMC20J17A,"	SAMC","	SAMC20"
ATSAMC20J17AU,"	SAMC","	SAMC20"
ATSAMC20J18A,"	SAMC","	SAMC20"
ATSAMC20J18AU,"	SAMC","	SAMC20"
ATSAMC20N17A,"	SAMC","	SAMC20"
ATSAMC20N18A,"	SAMC","	SAMC20"
ATSAMC21E15A,"	SAMC","	SAMC21"
ATSAMC21E16A,"	SAMC","	SAMC21"
ATSAMC21E17A,"	SAMC","	SAMC21"
ATSAMC21E18A,"	SAMC","	SAMC21"
ATSAMC21G15A,"	SAMC","	SAMC21"
ATSAMC21G16A,"	SAMC","	SAMC21"
ATSAMC21G17A,"	SAMC","	SAMC21"
ATSAMC21G18A,"	SAMC","	SAMC21"
ATSAMC21J15A,"	SAMC","	SAMC21"
ATSAMC21J16A,"	SAMC","	SAMC21"
ATSAMC21J17A,"	SAMC","	SAMC21"
ATSAMC21J17AU,"	SAMC","	SAMC21"
ATSAMC21J18A,"	SAMC","	SAMC21"
ATSAMC21J18AU,"	SAMC","	SAMC21"
ATSAMC21N17A,"	SAMC","	SAMC21"
ATSAMC21N18A,"	SAMC","	SAMC21"
ATSAMD09C13A,"	SAMD","	SAMD09"
ATSAMD09D14A,"	SAMD","	SAMD09"
ATSAMD10C13A,"	SAMD","	SAMD10"
ATSAMD10C14A,"	SAMD","	SAMD10"
ATSAMD10D13AM,"	SAMD","	SAMD10"
ATSAMD10D13AS,"	SAMD","	SAMD10"
ATSAMD10D14AM,"	SAMD","	SAMD10"
ATSAMD10D14AS,"	SAMD","	SAMD10"
ATSAMD10D14AU,"	SAMD","	SAMD10"
ATSAMD11C14A,"	SAMD","	SAMD11"
ATSAMD11D14AM,"	SAMD","	SAMD11"
ATSAMD11D14AS,"	SAMD","	SAMD11"
ATSAMD11D14AU,"	SAMD","	SAMD11"
ATSAMD20E14,"	SAMD","	SAMD20"
ATSAMD20E15,"	SAMD","	SAMD20"
ATSAMD20E16,"	SAMD","	SAMD20"
ATSAMD20E17,"	SAMD","	SAMD20"
ATSAMD20E18,"	SAMD","	SAMD20"
ATSAMD20G14,"	SAMD","	SAMD20"
ATSAMD20G15,"	SAMD","	SAMD20"
ATSAMD20G16,"	SAMD","	SAMD20"
ATSAMD20G17,"	SAMD","	SAMD20"
ATSAMD20G17U,"	SAMD","	SAMD20"
ATSAMD20G18,"	SAMD","	SAMD20"
ATSAMD20G18U,"	SAMD","	SAMD20"
ATSAMD20J14,"	SAMD","	SAMD20"
ATSAMD20J15,"	SAMD","	SAMD20"
ATSAMD20J16,"	SAMD","	SAMD20"
ATSAMD20J17,"	SAMD","	SAMD20"
ATSAMD20J18,"	SAMD","	SAMD20"
ATSAMD20E14B,"	SAMD","	SAMD20"
ATSAMD20E15B,"	SAMD","	SAMD20"
ATSAMD20E15BU,"	SAMD","	SAMD20"
ATSAMD20E16B,"	SAMD","	SAMD20"
ATSAMD20E16BU,"	SAMD","	SAMD20"
ATSAMD20G14B,"	SAMD","	SAMD20"
ATSAMD20G15B,"	SAMD","	SAMD20"
ATSAMD20G16B,"	SAMD","	SAMD20"
ATSAMD20J14B,"	SAMD","	SAMD20"
ATSAMD20J15B,"	SAMD","	SAMD20"
ATSAMD20J16B,"	SAMD","	SAMD20"
ATSAMD21E15A,"	SAMD","	SAMD21"
ATSAMD21E16A,"	SAMD","	SAMD21"
ATSAMD21E17A,"	SAMD","	SAMD21"
ATSAMD21E18A,"	SAMD","	SAMD21"
ATSAMD21G15A,"	SAMD","	SAMD21"
ATSAMD21G16A,"	SAMD","	SAMD21"
ATSAMD21G17A,"	SAMD","	SAMD21"
ATSAMD21G17AU,"	SAMD","	SAMD21"
ATSAMD21G18A,"	SAMD","	SAMD21"
ATSAMD21G18AU,"	SAMD","	SAMD21"
ATSAMD21J15A,"	SAMD","	SAMD21"
ATSAMD21J16A,"	SAMD","	SAMD21"
ATSAMD21J17A,"	SAMD","	SAMD21"
ATSAMD21J18A,"	SAMD","	SAMD21"
ATSAMD21E15B,"	SAMD","	SAMD21"
ATSAMD21E15BU,"	SAMD","	SAMD21"
ATSAMD21E16B,"	SAMD","	SAMD21"
ATSAMD21E16BU,"	SAMD","	SAMD21"
ATSAMD21G15B,"	SAMD","	SAMD21"
ATSAMD21G16B,"	SAMD","	SAMD21"
ATSAMD21J15B,"	SAMD","	SAMD21"
ATSAMD21J16B,"	SAMD","	SAMD21"
ATSAMD21E15CU,"	SAMD","	SAMD21"
ATSAMD21E16CU,"	SAMD","	SAMD21"
ATSAMD21E17D,"	SAMD","	SAMD21"
ATSAMD21E17DU,"	SAMD","	SAMD21"
ATSAMD21G17D,"	SAMD","	SAMD21"
ATSAMD21J17D,"	SAMD","	SAMD21"
ATSAMD21E15L,"	SAMD","	SAMD21"
ATSAMD21E16L,"	SAMD","	SAMD21"
ATSAMD21E17L,"	SAMD","	SAMD21"
ATSAMD21G15L,"	SAMD","	SAMD21"
ATSAMD21G16L,"	SAMD","	SAMD21"
ATSAMD21G17L,"	SAMD","	SAMD21"
ATSAMD51G18A,"	SAMD","	SAMD51"
ATSAMD51G19A,"	SAMD","	SAMD51"
ATSAMD51J18A,"	SAMD","	SAMD51"
ATSAMD51J19A,"	SAMD","	SAMD51"
ATSAMD51J20A,"	SAMD","	SAMD51"
ATSAMD51N19A,"	SAMD","	SAMD51"
ATSAMD51N20A,"	SAMD","	SAMD51"
ATSAMD51P19A,"	SAMD","	SAMD51"
ATSAMD51P20A,"	SAMD","	SAMD51"
ATSAMDA1E14B,"	SAMD","	SAMDA1"
ATSAMDA1E15B,"	SAMD","	SAMDA1"
ATSAMDA1E16B,"	SAMD","	SAMDA1"
ATSAMDA1G14B,"	SAMD","	SAMDA1"
ATSAMDA1G15B,"	SAMD","	SAMDA1"
ATSAMDA1G16B,"	SAMD","	SAMDA1"
ATSAMDA1J14B,"	SAMD","	SAMDA1"
ATSAMDA1J15B,"	SAMD","	SAMDA1"
ATSAMDA1J16B,"	SAMD","	SAMDA1"
ATSAME51G18A,"	SAME","	SAME51"
ATSAME51G19A,"	SAME","	SAME51"
ATSAME51J18A,"	SAME","	SAME51"
ATSAME51J19A,"	SAME","	SAME51"
ATSAME51J20A,"	SAME","	SAME51"
ATSAME51N19A,"	SAME","	SAME51"
ATSAME51N20A,"	SAME","	SAME51"
ATSAME53J18A,"	SAME","	SAME53"
ATSAME53J19A,"	SAME","	SAME53"
ATSAME53J20A,"	SAME","	SAME53"
ATSAME53N19A,"	SAME","	SAME53"
ATSAME53N20A,"	SAME","	SAME53"
ATSAME54N19A,"	SAME","	SAME54"
ATSAME54N20A,"	SAME","	SAME54"
ATSAME54P19A,"	SAME","	SAME54"
ATSAME54P20A,"	SAME","	SAME54"
ATSAMHA0E14AB,"	SAMH","	SAMHA0"
ATSAMHA0E15AB,"	SAMH","	SAMHA0"
ATSAMHA0E16AB,"	SAMH","	SAMHA0"
ATSAMHA0G14AB,"	SAMH","	SAMHA0"
ATSAMHA0G15AB,"	SAMH","	SAMHA0"
ATSAMHA0G16AB,"	SAMH","	SAMHA0"
ATSAMHA0G17AB,"	SAMH","	SAMHA0"
ATSAMHA1G14A,"	SAMH","	SAMHA1"
ATSAMHA1G15A,"	SAMH","	SAMHA1"
ATSAMHA1G16A,"	SAMH","	SAMHA1"
ATSAMHA1E14AB,"	SAMH","	SAMHA1"
ATSAMHA1E15AB,"	SAMH","	SAMHA1"
ATSAMHA1E16AB,"	SAMH","	SAMHA1"
ATSAMHA1G14AB,"	SAMH","	SAMHA1"
ATSAMHA1G15AB,"	SAMH","	SAMHA1"
ATSAMHA1G16AB,"	SAMH","	SAMHA1"
ATSAMHA1G17AB,"	SAMH","	SAMHA1"
ATSAML10D14A,"	SAML","	SAML10"
ATSAML10D15A,"	SAML","	SAML10"
ATSAML10D16A,"	SAML","	SAML10"
ATSAML10E14A,"	SAML","	SAML10"
ATSAML10E15A,"	SAML","	SAML10"
ATSAML10E16A,"	SAML","	SAML10"
ATSAML11D14A,"	SAML","	SAML11"
ATSAML11D15A,"	SAML","	SAML11"
ATSAML11D16A,"	SAML","	SAML11"
ATSAML11E14A,"	SAML","	SAML11"
ATSAML11E15A,"	SAML","	SAML11"
ATSAML11E16A,"	SAML","	SAML11"
ATSAML21E18A,"	SAML","	SAML21"
ATSAML21G18A,"	SAML","	SAML21"
ATSAML21J18A,"	SAML","	SAML21"
ATSAML21E15B,"	SAML","	SAML21"
ATSAML21E16B,"	SAML","	SAML21"
ATSAML21E17B,"	SAML","	SAML21"
ATSAML21E18B,"	SAML","	SAML21"
ATSAML21G16B,"	SAML","	SAML21"
ATSAML21G17B,"	SAML","	SAML21"
ATSAML21G18B,"	SAML","	SAML21"
ATSAML21J16B,"	SAML","	SAML21"
ATSAML21J17B,"	SAML","	SAML21"
ATSAML21J17BU,"	SAML","	SAML21"
ATSAML21J18B,"	SAML","	SAML21"
ATSAML21J18BU,"	SAML","	SAML21"
ATSAML22G16A,"	SAML","	SAML22"
ATSAML22G17A,"	SAML","	SAML22"
ATSAML22G18A,"	SAML","	SAML22"
ATSAML22J16A,"	SAML","	SAML22"
ATSAML22J17A,"	SAML","	SAML22"
ATSAML22J18A,"	SAML","	SAML22"
ATSAML22N16A,"	SAML","	SAML22"
ATSAML22N17A,"	SAML","	SAML22"
ATSAML22N18A,"	SAML","	SAML22"
ATSAMR21E16A,"	SAMR","	SAMR21"
ATSAMR21E17A,"	SAMR","	SAMR21"
ATSAMR21E18A,"	SAMR","	SAMR21"
ATSAMR21E19A,"	SAMR","	SAMR21"
ATSAMR21G16A,"	SAMR","	SAMR21"
ATSAMR21G17A,"	SAMR","	SAMR21"
ATSAMR21G18A,"	SAMR","	SAMR21"
ATSAMR30E18A,"	SAMR","	SAMR30"
ATSAMR30G18A,"	SAMR","	SAMR30"
ATSAMR34J16B,"	SAMR","	SAMR34"
ATSAMR34J17B,"	SAMR","	SAMR34"
